first_pid,first_mem,second_pid,second_mem,third_pid,third_mem,fourth_pid,fourth_mem,fifth_pid,fifth_mem
41534,51.4,39497,12.2,39177,4.1,1,0.1,2,0.0
41534,52.0,1,0.1,2,0.0,3,0.0,4,0.0
41534,52.4,649,0.0,39220,6.4,39231,1.1,1,0.1
41534,50.9,49,0.0,1,0.1,2,0.0,3,0.0
41534,50.8,1,0.1,2,0.0,3,0.0,4,0.0
41534,51.4,1,0.1,2,0.0,3,0.0,4,0.0
41534,51.9,49,0.0,1,0.3,2,0.0,3,0.0
41534,52.4,1,0.3,2,0.0,3,0.0,4,0.0
41534,52.9,1,0.3,2,0.0,3,0.0,4,0.0
41534,52.8,1,0.3,2,0.0,3,0.0,4,0.0
41534,53.3,39231,1.0,1,0.3,2,0.0,3,0.0
41534,53.8,39497,11.0,1,0.3,2,0.0,3,0.0
41534,52.9,1,0.3,2,0.0,3,0.0,4,0.0
41534,53.5,39220,6.0,1,0.3,2,0.0,3,0.0
41534,54.0,1,0.3,2,0.0,3,0.0,4,0.0
41534,54.5,1,0.3,2,0.0,3,0.0,4,0.0
41534,52.2,1,0.3,2,0.0,3,0.0,4,0.0
41534,52.8,39177,4.1,1,0.3,2,0.0,3,0.0
41534,53.3,1,0.3,2,0.0,3,0.0,4,0.0
41534,53.9,1,0.3,2,0.0,3,0.0,4,0.0
41534,54.4,1,0.3,2,0.0,3,0.0,4,0.0
41534,54.9,1,0.3,2,0.0,3,0.0,4,0.0
41534,55.4,1,0.3,2,0.0,3,0.0,4,0.0
41534,55.9,39220,5.1,40309,0.3,1,0.3,2,0.0
41534,54.1,49,0.0,39177,4.1,39212,1.5,39497,9.6
41534,54.6,1,0.3,2,0.0,3,0.0,4,0.0
41534,55.2,1,0.3,2,0.0,3,0.0,4,0.0
41534,55.7,39231,1.0,1,0.3,2,0.0,3,0.0
41534,56.2,39220,4.9,1,0.3,2,0.0,3,0.0
41534,55.3,49,0.0,39220,6.1,39497,8.3,40271,0.3
41534,55.8,39497,8.4,1,0.3,2,0.0,3,0.0
41534,56.4,39177,4.2,1,0.3,2,0.0,3,0.0
41534,54.9,49,0.0,39220,5.8,1,0.3,2,0.0
41534,55.4,1,0.3,2,0.0,3,0.0,4,0.0
41534,55.9,39220,6.0,39231,1.1,1,0.3,2,0.0
41534,56.4,1,0.3,2,0.0,3,0.0,4,0.0
41534,56.9,39177,4.0,1,0.3,2,0.0,3,0.0
41534,57.4,39177,4.2,1,0.3,2,0.0,3,0.0
41534,57.0,49,0.0,39220,6.0,1,0.3,2,0.0
41534,57.5,39177,4.2,1,0.3,2,0.0,3,0.0
41534,58.0,39497,6.7,1,0.3,2,0.0,3,0.0
41534,57.4,1,0.2,2,0.0,3,0.0,4,0.0
41534,57.9,39177,4.3,39220,6.0,1,0.2,2,0.0
41534,58.4,1,0.2,2,0.0,3,0.0,4,0.0
41534,58.9,1,0.2,2,0.0,3,0.0,4,0.0
41534,55.1,49,0.0,39177,5.3,1,0.2,2,0.0
