pid,user,pr,ni,virt,res,shr,s,cpu,mem,time,command
41534,root,20,0,257400,247444,2732,R,R,93.8,31.4,,
41534,root,20,0,261624,251668,2732,R,R,93.3,31.9,,
41534,root,20,0,265848,255892,2732,R,R,93.8,32.4,,
41534,root,20,0,269676,259588,2732,R,R,75.0,32.9,,
41534,root,20,0,273900,263812,2732,R,R,87.5,33.4,,
41534,root,20,0,277860,268036,2732,R,R,99.9,34.0,,
41534,root,20,0,282084,271868,2604,R,R,87.5,34.4,,
41534,root,20,0,286044,275828,2604,R,R,93.3,35.0,,
41534,root,20,0,290004,280052,2604,R,R,93.3,35.5,,
41534,root,20,0,294096,284012,2604,R,R,93.3,36.0,,
41534,root,20,0,298056,287972,2604,R,R,99.9,36.5,,
41534,root,20,0,302016,291932,2604,R,R,87.5,37.0,,
41534,root,20,0,306240,296156,2604,R,R,87.5,37.5,,
41534,root,20,0,310200,300116,2604,R,R,99.9,38.0,,
41534,root,20,0,314556,304340,2604,R,R,93.8,38.6,,
41534,root,20,0,318648,308564,2604,R,R,93.3,39.1,,
41534,root,20,0,322872,312788,2604,R,R,93.3,39.6,,
41534,root,20,0,327096,317012,2604,R,R,93.3,40.2,,
41534,root,20,0,330396,320412,2572,R,R,73.3,40.6,,
41534,root,20,0,334620,324636,2572,R,R,93.3,41.1,,
41534,root,20,0,338844,328860,2572,R,R,93.3,41.7,,
41534,root,20,0,342936,332820,2572,R,R,86.7,42.2,,
41534,root,20,0,347292,337308,2572,R,R,99.9,42.7,,
41534,root,20,0,351120,341004,2572,R,R,86.7,43.2,,
41534,root,20,0,355476,345228,2572,R,R,86.7,43.7,,
41534,root,20,0,359172,348924,2572,R,R,81.2,44.2,,
41534,root,20,0,363396,353148,2572,R,R,93.8,44.7,,
41534,root,20,0,367488,357372,2572,R,R,93.3,45.3,,
41534,root,20,0,371580,361332,2572,R,R,93.3,45.8,,
41534,root,20,0,375804,365820,2572,R,R,99.9,46.4,,
41534,root,20,0,380028,370044,2572,R,R,93.8,46.9,,
41534,root,20,0,383724,373336,2432,R,R,80.0,47.3,,
41534,root,20,0,387684,377296,2432,R,R,87.5,47.8,,
41534,root,20,0,391776,381520,2432,R,R,93.8,48.3,,
41534,root,20,0,395868,385480,2432,R,R,87.5,48.8,,
41534,root,20,0,399828,389440,2432,R,R,93.8,49.3,,
41534,root,20,0,404052,393672,2444,R,R,87.5,49.9,,
41534,root,20,0,407748,397368,2444,R,R,81.2,50.4,,
41534,root,20,0,411972,401592,2444,R,R,93.3,50.9,,
41534,root,20,0,416064,405816,2444,R,R,99.9,51.4,,
41534,root,20,0,420288,410040,2444,R,R,93.3,52.0,,
41534,root,20,0,424512,413148,2444,R,R,93.3,52.4,,
41534,root,20,0,428208,401916,2444,R,R,81.2,50.9,,
41534,root,20,0,432300,401044,2444,R,R,99.9,50.8,,
41534,root,20,0,436392,405268,2444,R,R,93.3,51.4,,
41534,root,20,0,440220,409228,2444,R,R,93.8,51.9,,
41534,root,20,0,444576,413452,2444,R,R,93.8,52.4,,
41534,root,20,0,448272,417148,2444,R,R,99.9,52.9,,
41534,root,20,0,452100,416660,2444,R,R,93.8,52.8,,
41534,root,20,0,456192,420620,2444,R,R,99.9,53.3,,
41534,root,20,0,460284,424844,2444,R,R,87.5,53.8,,
41534,root,20,0,463980,417604,2444,R,R,93.8,52.9,,
41534,root,20,0,467940,421828,2444,R,R,81.2,53.5,,
41534,root,20,0,472296,426052,2444,R,R,99.9,54.0,,
41534,root,20,0,476520,430276,2444,R,R,93.8,54.5,,
41534,root,20,0,480480,412308,2444,R,R,87.5,52.2,,
41534,root,20,0,484704,416532,2444,R,R,93.3,52.8,,
41534,root,20,0,489060,420756,2444,R,R,93.3,53.3,,
41534,root,20,0,493284,424980,2444,R,R,93.3,53.9,,
41534,root,20,0,497376,429204,2444,R,R,99.9,54.4,,
41534,root,20,0,501468,433428,2444,R,R,93.3,54.9,,
41534,root,20,0,505692,437388,2444,R,R,99.9,55.4,,
41534,root,20,0,509520,441348,2444,R,R,86.7,55.9,,
41534,root,20,0,513084,426772,2440,R,R,75.0,54.1,,
41534,root,20,0,517308,431260,2440,R,R,93.3,54.6,,
41534,root,20,0,521664,435484,2440,R,R,93.8,55.2,,
41534,root,20,0,525756,439708,2440,R,R,93.3,55.7,,
41534,root,20,0,529848,443668,2440,R,R,87.5,56.2,,
41534,root,20,0,532884,436468,2440,R,R,62.5,55.3,,
41534,root,20,0,536844,440692,2440,R,R,93.8,55.8,,
41534,root,20,0,541068,444916,2440,R,R,87.5,56.4,,
41534,root,20,0,544632,433288,2440,R,R,73.3,54.9,,
41534,root,20,0,548592,437248,2440,R,R,93.3,55.4,,
41534,root,20,0,552552,441208,2440,R,R,81.2,55.9,,
41534,root,20,0,556644,445432,2440,R,R,93.3,56.4,,
41534,root,20,0,560868,449392,2440,R,R,87.5,56.9,,
41534,root,20,0,564564,453088,2440,R,R,81.2,57.4,,
41534,root,20,0,568260,449536,2440,R,R,86.7,57.0,,
41534,root,20,0,572352,453496,2440,R,R,87.5,57.5,,
41534,root,20,0,576444,457456,2440,R,R,87.5,58.0,,
41534,root,20,0,580140,452828,2440,R,R,81.2,57.4,,
41534,root,20,0,584100,456788,2440,R,R,93.3,57.9,,
41534,root,20,0,587928,460748,2440,R,R,87.5,58.4,,
41534,root,20,0,591756,464444,2440,R,R,81.2,58.9,,
41534,root,20,0,596244,435124,2416,R,R,81.2,55.1,,
41534,root,20,0,600600,439348,2416,R,R,87.5,55.7,,
41534,root,20,0,604824,443572,2416,R,R,87.5,56.2,,
41534,root,20,0,608916,447796,2416,R,R,93.3,56.7,,
41534,root,20,0,613140,452020,2416,R,R,99.9,57.3,,
41534,root,20,0,617496,456244,2416,R,R,93.3,57.8,,
41534,root,20,0,621588,460204,2416,R,R,93.3,58.3,,
41534,root,20,0,625680,464428,2416,R,R,99.9,58.8,,
41534,root,20,0,629640,468388,2416,R,R,93.3,59.4,,
41534,root,20,0,633732,460816,2416,R,R,86.7,58.4,,
41534,root,20,0,637428,464512,2416,R,R,80.0,58.9,,
41534,root,20,0,641388,468472,2416,R,R,86.7,59.4,,
41534,root,20,0,645612,472960,2416,R,R,93.8,59.9,,
41534,root,20,0,649572,475652,2416,R,R,86.7,60.3,,
41534,root,20,0,653136,457344,2416,R,R,75.0,58.0,,
41534,root,20,0,657360,461568,2416,R,R,99.9,58.5,,
41534,root,20,0,661716,465792,2416,R,R,87.5,59.0,,
41534,root,20,0,665808,470016,2416,R,R,87.5,59.6,,
41534,root,20,0,669900,474240,2416,R,R,93.3,60.1,,
41534,root,20,0,673464,460912,2416,R,R,86.7,58.4,,
41534,root,20,0,677424,464872,2416,R,R,87.5,58.9,,
41534,root,20,0,681516,469096,2416,R,R,87.5,59.4,,
41534,root,20,0,685740,473320,2416,R,R,93.3,60.0,,
41534,root,20,0,690096,477544,2416,R,R,93.3,60.5,,
41534,root,20,0,693000,458536,2416,R,R,68.8,58.1,,
41534,root,20,0,698148,439856,2416,R,R,93.3,55.7,,
41534,root,20,0,702240,444080,2416,R,R,87.5,56.3,,
41534,root,20,0,706332,448040,2416,R,R,87.5,56.8,,
41534,root,20,0,710556,452264,2416,R,R,93.3,57.3,,
41534,root,20,0,714648,456488,2416,R,R,93.8,57.8,,
41534,root,20,0,718740,460712,2416,R,R,81.2,58.4,,
41534,root,20,0,722832,464672,2416,R,R,93.3,58.9,,
41534,root,20,0,726924,468632,2416,R,R,81.2,59.4,,
41534,root,20,0,731148,472856,2416,R,R,93.3,59.9,,
41534,root,20,0,735372,477344,2416,R,R,93.3,60.5,,
41534,root,20,0,739332,481040,2416,R,R,93.3,61.0,,
41534,root,20,0,742500,466636,2416,R,R,73.3,59.1,,
41534,root,20,0,746064,470332,2416,R,R,86.7,59.6,,
41534,root,20,0,750024,474292,2416,R,R,99.9,60.1,,
41534,root,20,0,754380,478516,2416,R,R,93.3,60.6,,
41534,root,20,0,758472,482740,2416,R,R,93.3,61.2,,
41534,root,20,0,763224,486936,2416,R,R,93.8,61.7,,
41534,root,20,0,767316,491160,2416,R,R,93.3,62.2,,
41534,root,20,0,771276,485072,2408,R,R,87.5,61.5,,
41534,root,20,0,774972,472020,2408,R,R,87.5,59.8,,
41534,root,20,0,778800,466788,2408,R,R,86.7,59.1,,
41534,root,20,0,783024,471012,2408,R,R,93.3,59.7,,
41534,root,20,0,787116,475236,2408,R,R,87.5,60.2,,
41534,root,20,0,791340,479196,2408,R,R,93.3,60.7,,
41534,root,20,0,795300,483420,2408,R,R,99.9,61.3,,
41534,root,20,0,799260,487380,2408,R,R,81.2,61.8,,
41534,root,20,0,803352,488380,2408,R,R,87.5,61.9,,
41534,root,20,0,806124,481152,2408,R,R,86.7,61.0,,
41534,root,20,0,810216,485112,2408,R,R,93.3,61.5,,
41534,root,20,0,814308,489072,2408,R,R,99.9,62.0,,
41534,root,20,0,817740,489796,2408,R,R,68.8,62.1,,
41534,root,20,0,821700,485552,2408,R,R,87.5,61.5,,
41534,root,20,0,825924,489776,2408,R,R,87.5,62.1,,
41534,root,20,0,830016,493736,2408,R,R,99.9,62.6,,
41534,root,20,0,834240,478524,2408,R,R,87.5,60.6,,
41534,root,20,0,838332,482748,2408,R,R,93.3,61.2,,
41534,root,20,0,842424,486708,2408,R,R,87.5,61.7,,
41534,root,20,0,846516,490932,2408,R,R,99.9,62.2,,
41534,root,20,0,850608,494892,2408,R,R,93.8,62.7,,
41534,root,20,0,854700,499116,2408,R,R,99.9,63.2,,
41534,root,20,0,856680,500964,2408,R,R,66.7,63.5,,
41534,root,20,0,858396,502548,2408,R,R,62.5,63.7,,
41534,root,20,0,859452,490156,2408,R,R,38.9,62.1,,
41534,root,20,0,861828,492532,2408,R,R,93.8,62.4,,
41534,root,20,0,865392,495964,2408,R,R,93.3,62.8,,
41534,root,20,0,868560,496392,2408,R,R,93.3,62.9,,
41534,root,20,0,872256,491876,2408,R,R,81.2,62.3,,
41534,root,20,0,875952,495572,2408,R,R,87.5,62.8,,
41534,root,20,0,879252,494496,2388,R,R,75.0,62.7,,
41534,root,20,0,882816,497928,2388,R,R,86.7,63.1,,
41534,root,20,0,886116,501360,2388,R,R,81.2,63.5,,
41534,root,20,0,889680,495148,2388,R,R,80.0,62.7,,
41534,root,20,0,893244,498556,2364,R,R,86.7,63.2,,
41534,root,20,0,896412,501332,1800,R,R,75.0,63.5,,
41534,root,20,0,899844,504452,1488,R,R,68.8,63.9,,
41534,root,20,0,903540,507220,560,R,R,70.6,64.3,,
41534,root,20,0,906708,510308,480,R,R,56.2,64.7,,
41534,root,20,0,910272,513740,484,R,R,76.5,65.1,,
41534,root,20,0,912780,516688,844,R,R,37.5,65.5,,
41534,root,20,0,915684,518800,4,R,R,35.3,65.7,,
41534,root,20,0,918324,522780,1264,R,R,35.3,66.2,,
41534,root,20,0,921756,525164,420,R,R,23.5,66.5,,
41534,root,20,0,926508,529564,0,R,R,5.0,67.1,,
41534,root,20,0,928092,529644,0,R,R,1.8,67.1,,
