pid,user,pr,ni,virt,res,shr,s,cpu,mem,time,command
41534,root,20,0,16368,6436,2756,R,R,87.5,0.8,,
41534,root,20,0,20592,10660,2756,R,R,87.5,1.4,,
41534,root,20,0,24684,14884,2756,R,R,99.9,1.9,,
41534,root,20,0,28908,19108,2756,R,R,93.8,2.4,,
41534,root,20,0,32604,22540,2756,R,R,80.0,2.9,,
41534,root,20,0,36960,27028,2756,R,R,99.9,3.4,,
41534,root,20,0,41052,31252,2756,R,R,99.9,4.0,,
41534,root,20,0,45408,35476,2756,R,R,87.5,4.5,,
41534,root,20,0,49368,39436,2756,R,R,93.3,5.0,,
41534,root,20,0,53592,43660,2756,R,R,99.9,5.5,,
41534,root,20,0,57684,47884,2756,R,R,99.9,6.1,,
41534,root,20,0,61776,51844,2756,R,R,86.7,6.6,,
41534,root,20,0,65472,55540,2756,R,R,86.7,7.0,,
41534,root,20,0,69432,59500,2756,R,R,99.9,7.5,,
41534,root,20,0,73392,63460,2756,R,R,93.8,8.0,,
41534,root,20,0,77484,67684,2756,R,R,87.5,8.6,,
41534,root,20,0,81444,71380,2756,R,R,93.3,9.0,,
41534,root,20,0,85668,75604,2756,R,R,99.9,9.6,,
41534,root,20,0,89232,79300,2756,R,R,80.0,10.0,,
41534,root,20,0,92796,82996,2756,R,R,86.7,10.5,,
41534,root,20,0,96756,86956,2756,R,R,81.2,11.0,,
41534,root,20,0,100848,90916,2756,R,R,93.3,11.5,,
41534,root,20,0,104544,94612,2756,R,R,81.2,12.0,,
41534,root,20,0,108768,98836,2756,R,R,87.5,12.5,,
41534,root,20,0,112992,103060,2756,R,R,87.5,13.1,,
41534,root,20,0,117216,107284,2756,R,R,93.3,13.6,,
41534,root,20,0,121440,111508,2756,R,R,99.9,14.1,,
41534,root,20,0,125532,115732,2756,R,R,81.2,14.7,,
41534,root,20,0,129360,119428,2756,R,R,86.7,15.1,,
41534,root,20,0,133188,123388,2756,R,R,81.2,15.6,,
41534,root,20,0,136620,126820,2756,R,R,93.8,16.1,,
41534,root,20,0,140316,130516,2756,R,R,75.0,16.5,,
41534,root,20,0,144540,134476,2756,R,R,99.9,17.0,,
41534,root,20,0,148632,138700,2756,R,R,93.3,17.6,,
41534,root,20,0,152724,142924,2756,R,R,93.3,18.1,,
41534,root,20,0,156684,146620,2756,R,R,86.7,18.6,,
41534,root,20,0,160908,150844,2756,R,R,93.8,19.1,,
41534,root,20,0,165132,155068,2756,R,R,93.3,19.6,,
41534,root,20,0,169224,159288,2752,R,R,87.5,20.2,,
41534,root,20,0,173184,163248,2752,R,R,93.3,20.7,,
41534,root,20,0,176748,166944,2752,R,R,86.7,21.2,,
41534,root,20,0,180840,170904,2752,R,R,93.3,21.7,,
41534,root,20,0,184932,174864,2752,R,R,93.8,22.2,,
41534,root,20,0,188892,178824,2752,R,R,87.5,22.7,,
41534,root,20,0,193116,183048,2752,R,R,93.8,23.2,,
41534,root,20,0,197076,187272,2752,R,R,93.3,23.7,,
41534,root,20,0,201300,191488,2744,R,R,93.8,24.3,,
41534,root,20,0,205524,195448,2744,R,R,93.3,24.8,,
41534,root,20,0,209616,199672,2744,R,R,99.9,25.3,,
41534,root,20,0,213576,203632,2744,R,R,93.3,25.8,,
41534,root,20,0,217668,207592,2744,R,R,93.8,26.3,,
41534,root,20,0,221232,211288,2744,R,R,73.3,26.8,,
41534,root,20,0,225324,215248,2744,R,R,99.9,27.3,,
41534,root,20,0,229152,219208,2744,R,R,99.9,27.8,,
41534,root,20,0,233112,223156,2732,R,R,99.9,28.3,,
41534,root,20,0,236808,226852,2732,R,R,93.3,28.7,,
41534,root,20,0,240900,230812,2732,R,R,99.9,29.2,,
41534,root,20,0,244992,235036,2732,R,R,93.3,29.8,,
41534,root,20,0,249084,238996,2732,R,R,93.3,30.3,,
41534,root,20,0,253044,243220,2732,R,R,87.5,30.8,,
