total,free,used,buff
770.7,49.3,671.8,
770.7,58.5,663.1,
770.7,54.7,666.9,
770.7,51.1,670.5,
770.7,48.5,673.1,
770.7,65.1,659.5,
770.7,58.7,663.6,
770.7,55.0,667.2,
770.7,51.1,671.2,
770.7,51.4,671.5,
770.7,49.2,673.1,
770.7,59.2,663.4,
770.7,56.2,666.4,
770.7,52.9,669.7,
770.7,48.9,673.6,
770.7,57.5,665.5,
770.7,53.7,669.1,
770.7,50.0,672.9,
770.7,50.3,673.0,
770.7,53.1,670.2,
770.7,48.6,674.6,
770.7,48.7,674.6,
770.7,61.9,662.4,
770.7,57.7,666.4,
770.7,54.7,669.3,
770.7,51.0,673.0,
770.7,57.2,666.9,
770.7,56.7,667.4,
770.7,52.3,671.8,
770.7,49.9,674.1,
770.7,52.4,671.8,
770.7,48.6,675.6,
770.7,53.9,670.5,
770.7,50.4,674.0,
770.7,55.3,669.5,
770.7,57.5,667.4,
770.7,54.1,670.5,
770.7,57.2,667.5,
770.7,54.1,670.6,
770.7,50.2,674.5,
770.7,57.4,671.5,
770.7,53.8,674.2,
770.7,54.0,673.8,
770.7,52.7,677.4,
770.7,58.1,680.0,
770.7,56.1,682.9,
770.7,51.1,684.8,
770.7,53.0,687.6,
770.7,46.6,690.4,
770.7,48.0,693.2,
770.7,41.3,694.9,
770.7,41.6,699.0,
